"INC NUMBER","OCCURRED ON","OCCURRED TO","UCR CRIME CATEGORY","100 BLOCK ADDR","ZIP","PREMISE TYPE"
"201500002161714",11/01/2015  08:00,11/03/2015  08:00,"BURGLARY","43XX N 66TH DR","85033","SINGLE FAMILY HOUSE"
"201500002332817",11/01/2015  08:00,12/05/2015  09:00,"LARCENY-THEFT","5XX N 40TH AVE","85009","PARKING LOT"
"201500002101781",11/01/2015  08:00,11/01/2015  08:00,"MOTOR VEHICLE THEFT","16XX W MCDOWELL RD","85007","PARKING LOT"
"201500002108029",11/01/2015  09:00,,"RAPE","42XX W MULBERRY DR","85019","SINGLE FAMILY HOUSE"
"201500002105056",11/01/2015  09:00,11/01/2015  18:20,"BURGLARY","27XX E BRILL ST","85008","SINGLE FAMILY HOUSE"
"201500002403298",11/01/2015  09:00,12/17/2015  21:00,"BURGLARY","148XX S 25TH PL","85048","SINGLE FAMILY HOUSE"
"201580008946",11/01/2015  09:14,11/27/2015  09:15,"BURGLARY","47XX W HARWELL RD","85339","SINGLE FAMILY HOUSING"
"201500002101936",11/01/2015  09:43,,"DRUG OFFENSE","9XX S 17TH AVE","85007","APARTMENT"
"201500002101993",11/01/2015  09:52,11/01/2015  09:52,"DRUG OFFENSE","42XX N 72ND LN","85033","STREET / ROADWAY / ALLEY / SIDEWALK"
"201510000015520",11/01/2015  10:00,11/01/2015  10:45,"LARCENY-THEFT","94XX N BLACK CANYON AC","85051","HOTEL / MOTEL"
"201600000410761",11/01/2015  10:00,11/01/2015  22:00,"RAPE","68XX W INDIAN SCHOOL RD","85033","SINGLE FAMILY HOUSE"
"201500002102655",11/01/2015  10:00,11/01/2015  11:00,"LARCENY-THEFT","27XX E BEARDSLEY RD","85050","PARK / PLAYGROUND"
"201600001563987",11/01/2015  10:00,08/23/2016  10:00,"LARCENY-THEFT","1XX E ELWOOD ST","85040","UNKNOWN"
"201500002102199",11/01/2015  10:08,11/01/2015  10:08,"LARCENY-THEFT","168XX N TATUM BLVD","85254","RETAIL BUSINESS"
"201500002116892",11/01/2015  10:30,11/01/2015  12:30,"BURGLARY","51XX N 99TH AVE","85307","APARTMENT"
"201500002102864",11/01/2015  11:35,,"LARCENY-THEFT","136XX N SCOTTSDALE RD","85254","RETAIL BUSINESS"
"201500002103331",11/01/2015  11:43,,"LARCENY-THEFT","3XX E JEFFERSON ST","85004","BAR / LOUNG / NIGHT CLUB"
"201500002203195",11/01/2015  12:00,11/16/2015  12:00,"LARCENY-THEFT","54XX E DEER VALLEY DR","85054","PARKING LOT"
"201600000348340",11/01/2015  12:00,02/23/2016  12:00,"LARCENY-THEFT","38XX S 103RD LN","85353","SINGLE FAMILY HOUSE"
"201500002125823",11/01/2015  12:00,11/04/2015  14:30,"BURGLARY","116XX N TATUM BLVD","85028","CONDO / TOWNHOUSE"
"201600000795753",11/01/2015  12:00,04/27/2016  12:00,"BURGLARY","112XX N 19TH AVE","85029","RETAIL BUSINESS"
"201500002103253",11/01/2015  12:00,11/01/2015  13:46,"BURGLARY","18XX E EARLL DR","85016","SINGLE FAMILY HOUSE"
"201600000632985",11/01/2015  12:00,04/06/2016  18:27,"MOTOR VEHICLE THEFT","34XX N 27TH AVE","85017","RETAIL BUSINESS"
"201500002104405",11/01/2015  12:00,11/01/2015  17:00,"MOTOR VEHICLE THEFT","36XX N 35TH AVE","85017","OFFICE / COMMERCIAL BUILDING"
"201500002109064",11/01/2015  12:00,11/02/2015  05:30,"MOTOR VEHICLE THEFT","47XX N BLACK CANYON AC","85015","APARTMENT"
"201600000205695",11/01/2015  12:00,02/02/2016  17:40,"LARCENY-THEFT","17XX E MCDOWELL RD","85006","PARKING LOT"
"201500002102704",11/01/2015  12:02,11/01/2015  12:02,"AGGRAVATED ASSAULT","69XX E CHAUNCEY LN","85054","APARTMENT"
"201500002102781",11/01/2015  12:15,11/01/2015  12:15,"LARCENY-THEFT","28XX W MELVIN ST","85009","APARTMENT"
"201500002102808",11/01/2015  12:22,,"MOTOR VEHICLE THEFT","28XX E TRACY LN","85032","STREET / ROADWAY / ALLEY / SIDEWALK"
"201500002261382",11/01/2015  13:00,11/25/2015  11:00,"LARCENY-THEFT","25XX W NORTHERN AVE","85051","DEPARTMENT / DISCOUNT STORE"
"201500002111865",11/01/2015  13:00,11/01/2015  15:00,"LARCENY-THEFT","3XX W MARIPOSA ST","85013","APARTMENT"
"201500002341015",11/01/2015  13:00,11/15/2015  12:00,"MOTOR VEHICLE THEFT","27XX E OLD TOWER RD","85034","AIRPORT"
"201500002105071",11/01/2015  13:00,11/01/2015  13:00,"LARCENY-THEFT","25XX W NOVAK WAY","85041","BAR / LOUNG / NIGHT CLUB"
"201500002103318",11/01/2015  13:00,11/01/2015  13:30,"AGGRAVATED ASSAULT","36XX W GARFIELD ST","85009","STREET / ROADWAY / ALLEY / SIDEWALK"
"201500002103035",11/01/2015  13:02,11/01/2015  13:02,"LARCENY-THEFT","45XX E THOMAS RD","85008","RETAIL BUSINESS"
"201500002106910",11/01/2015  13:30,11/01/2015  23:50,"BURGLARY","64XX W MCDOWELL RD","85043","APARTMENT"
"201500002103199",11/01/2015  13:33,11/01/2015  13:35,"ROBBERY","60XX S CENTRAL AVE","85042","STREET / ROADWAY / ALLEY / SIDEWALK"
"201500002103290",11/01/2015  13:52,11/01/2015  13:52,"LARCENY-THEFT","20XX N 75TH AVE","85035","RETAIL BUSINESS"
"201500002109090",11/01/2015  14:00,11/02/2015  09:00,"LARCENY-THEFT","1XX E OCOTILLO RD","85012","STREET / ROADWAY / ALLEY / SIDEWALK"
"201500002101754",11/01/2015  14:00,,"LARCENY-THEFT","89XX N 22ND AVE","85021","SINGLE FAMILY HOUSE"
"201600002341895",11/01/2015  14:00,12/21/2016  13:00,"MOTOR VEHICLE THEFT","10XX N 24TH PL","85008","GARAGE"
"201500002104174",11/01/2015  14:00,,"AGGRAVATED ASSAULT","16XX N 27TH AVE","85009","CONVENIENCE MARKET / STORE"
"201500002103380",11/01/2015  14:07,,"LARCENY-THEFT","34XX W BELL RD","85053","SPECIALTY STORE"
"201500002103583",11/01/2015  14:39,11/01/2015  14:40,"LARCENY-THEFT","51XX W MCDOWELL RD","85035","GROCERY / SUPER MARKET"
"201500002103625",11/01/2015  14:48,11/01/2015  14:49,"AGGRAVATED ASSAULT","26XX N 73RD GLN","85035","OPEN SPACE / DESERT"
"201500002125373",11/01/2015  15:00,11/03/2015  18:00,"MOTOR VEHICLE THEFT","10XX W TONOPAH DR","85027","SINGLE FAMILY HOUSE"
"201500002104549",11/01/2015  15:00,11/01/2015  16:00,"LARCENY-THEFT","18XX W BELL RD","85023","PARKING LOT"
"201500002104692",11/01/2015  15:00,,"LARCENY-THEFT","40XX E CHANDLER BLVD","85048","SINGLE FAMILY HOUSE"
"201500002107898",11/01/2015  15:00,11/02/2015  07:30,"MOTOR VEHICLE THEFT","41XX S 4TH ST","85040","PARK / PLAYGROUND"
"201500002321743",11/01/2015  15:00,12/05/2015  12:00,"BURGLARY","184XX N 35TH AVE","85053","RENTAL STORAGE / FACILITY"
"201500002137996",11/01/2015  15:00,11/06/2015  16:12,"LARCENY-THEFT","11XX E DESERT DR","85042","SINGLE FAMILY HOUSE"
"201500002104032",11/01/2015  15:00,,"AGGRAVATED ASSAULT","40XX W ENCANTO BLVD","85009","SINGLE FAMILY HOUSE"
"201500002109584",11/01/2015  15:00,11/02/2015  11:00,"LARCENY-THEFT","26XX W UNION HILLS DR","85027","HOTEL / MOTEL"
"201500002103725",11/01/2015  15:06,,"AGGRAVATED ASSAULT","43XX W BELL RD","85308","STREET / ROADWAY / ALLEY / SIDEWALK"
"201500002103777",11/01/2015  15:09,,"LARCENY-THEFT","42XX S 48TH ST","85040","RETAIL BUSINESS"
"201500002103776",11/01/2015  15:12,11/01/2015  15:20,"LARCENY-THEFT","42XX W MCDOWELL RD","85009","GROCERY / SUPER MARKET"
"201500002104454",11/01/2015  15:30,11/01/2015  15:55,"LARCENY-THEFT","74XX W VIRGINIA AVE","85035","DEPARTMENT / DISCOUNT STORE"
"201500002134840",11/01/2015  15:35,11/01/2015  17:46,"LARCENY-THEFT","41XX W ADAMS ST","85009","OFFICE / COMMERCIAL BUILDING"
"201500002104200",11/01/2015  15:48,,"DRUG OFFENSE","18XX W ADAMS ST","85007","VEHICLE"
"201500002104772",11/01/2015  16:00,11/01/2015  17:00,"LARCENY-THEFT","32XX E CAMELBACK RD","85018","OTHER"
"201500002103711",11/01/2015  16:00,,"MOTOR VEHICLE THEFT","37XX N 12TH ST","85014","STREET / ROADWAY / ALLEY / SIDEWALK"
"201500002104115",11/01/2015  16:05,,"LARCENY-THEFT","90XX S CENTRAL AVE","85041","CONVENIENCE MARKET / STORE"
"201500002104138",11/01/2015  16:10,11/01/2015  16:32,"DRUG OFFENSE","3XX W BELL RD","85023","RETAIL BUSINESS"
"201580008756",11/01/2015  16:23,11/20/2015  04:00,"LARCENY-THEFT","154XX N CAVE CREEK RD","85032","PARKING LOT"
"201500002024630",11/01/2015  16:30,11/01/2015  16:30,"LARCENY-THEFT","25XX W GREENWAY RD","85023","STREET / ROADWAY / ALLEY / SIDEWALK"
"201500002220184",11/01/2015  16:30,11/19/2015  07:00,"LARCENY-THEFT","41XX W BLUEFIELD AVE","85308","VEHICLE"
"201600000016379",11/01/2015  17:00,01/03/2016  17:03,"BURGLARY","40XX W SHANGRI LA RD","85029",
"201500002106290",11/01/2015  17:00,11/01/2015  22:00,"AGGRAVATED ASSAULT","33XX W POLK ST","85009","VEHICLE"
"201500002108056",11/01/2015  17:00,11/02/2015  07:10,"LARCENY-THEFT","42XX S 36TH PL","85040","OTHER"
"201500002105223",11/01/2015  17:00,11/01/2015  17:30,"ROBBERY","350XX N NORTH VALLEY PKWY","85086","SPECIALTY STORE"
"201600000477561",11/01/2015  17:00,03/13/2016  05:00,"LARCENY-THEFT","38XX E SKY HARBOR BLVD","85034","AIRPORT"
"201500002104541",11/01/2015  17:10,,"LARCENY-THEFT","16XX E ROOSEVELT ST","85006","GROCERY / SUPER MARKET"
"201500002104559",11/01/2015  17:16,11/01/2015  17:16,"BURGLARY","70XX N 7TH AVE","85021","SINGLE FAMILY HOUSE"
"201500002108024",11/01/2015  17:30,11/02/2015  06:30,"LARCENY-THEFT","16XX W BURGESS LN","85041","DRIVEWAY"
"201500002104674",11/01/2015  17:37,,"LARCENY-THEFT","17XX W BELL RD","85023","RETAIL BUSINESS"
"201500002104722",11/01/2015  17:43,,"LARCENY-THEFT","55XX N 35TH AVE","85019","APARTMENT"
"201500002105044",11/01/2015  18:00,11/01/2015  18:25,"LARCENY-THEFT","38XX E BASELINE RD","85042","APARTMENT"
"201500002104973",11/01/2015  18:00,,"LARCENY-THEFT","18XX W BELL RD","85023","RETAIL BUSINESS"
"201500002108346",11/01/2015  18:00,11/02/2015  08:30,"LARCENY-THEFT","174XX N 19TH AVE","85023","PARKING LOT"
"201500002107615",11/01/2015  18:00,11/02/2015  05:00,"LARCENY-THEFT","72XX W DEVONSHIRE AVE","85033","SINGLE FAMILY HOUSE"
"201500002104959",11/01/2015  18:00,,"LARCENY-THEFT","52XX W INDIAN SCHOOL RD","85031","RETAIL BUSINESS"
"201500002104957",11/01/2015  18:08,,"AGGRAVATED ASSAULT","43XX W CLARENDON AVE","85031","SINGLE FAMILY HOUSE"
"201500002107930",11/01/2015  19:00,11/02/2015  06:30,"LARCENY-THEFT","103XX W ATLANTIS WAY","85353","STREET / ROADWAY / ALLEY / SIDEWALK"
"201500002054192",11/01/2015  19:00,10/25/2015  08:30,"MOTOR VEHICLE THEFT","25XX W BEAUTIFUL LN","85041","STREET / ROADWAY / ALLEY / SIDEWALK"
"201500002105981",11/01/2015  19:00,11/01/2015  21:00,"LARCENY-THEFT","40XX W WONDERVIEW RD","85019","CONDO / TOWNHOUSE"
"201500002107735",11/01/2015  19:30,11/02/2015  06:30,"LARCENY-THEFT","5XX W EL CAMINO DR","85021","VEHICLE"
"201500002105434",11/01/2015  19:32,,"LARCENY-THEFT","47XX E RAY RD","85044","RETAIL BUSINESS"
"201500002107572",11/01/2015  20:00,11/02/2015  05:29,"LARCENY-THEFT","21XX N 39TH DR","85009","SINGLE FAMILY HOUSE"
"201500002107940",11/01/2015  20:00,11/02/2015  03:30,"LARCENY-THEFT","56XX S 32ND ST","85040","APARTMENT"
"201500002106299",11/01/2015  20:00,11/01/2015  22:16,"LARCENY-THEFT","184XX N 19TH AVE","85023","GROCERY / SUPER MARKET"
"201500002105614",11/01/2015  20:08,11/01/2015  20:08,"AGGRAVATED ASSAULT","31XX S 87TH DR","85353","SINGLE FAMILY HOUSE"
"201500002105650",11/01/2015  20:13,11/01/2015  20:15,"BURGLARY","122XX S 35TH ST","85044","SINGLE FAMILY HOUSE"
"201500002105900",11/01/2015  20:35,11/01/2015  20:45,"LARCENY-THEFT","52XX W INDIAN SCHOOL RD","85031","RETAIL BUSINESS"
"201500002106185",11/01/2015  20:40,11/01/2015  21:00,"MOTOR VEHICLE THEFT","62XX W THOMAS RD","85035","APARTMENT"
"201500002105849",11/01/2015  20:46,11/01/2015  20:47,"AGGRAVATED ASSAULT","48XX W VERDE LN","85031","STREET / ROADWAY / ALLEY / SIDEWALK"
"201500002167489",11/01/2015  21:00,11/10/2015  23:30,"AGGRAVATED ASSAULT","36XX E VAN BUREN ST","85008","APARTMENT"
"201500002106138",11/01/2015  21:00,11/01/2015  21:10,"ROBBERY","24XX E VAN BUREN ST","85008","STREET / ROADWAY / ALLEY / SIDEWALK"
"201500002118996",11/01/2015  21:00,11/01/2015  22:30,"MOTOR VEHICLE THEFT","21XX W FLOWER ST","85015","PARKING LOT"
"201500002105953",11/01/2015  21:06,11/01/2015  21:06,"DRUG OFFENSE","102XX N METRO PKWY W","85051","PARKING LOT"
"201500002106035",11/01/2015  21:15,,"ROBBERY","N 47TH AVE & W GLENROSA AVE","85031","STREET / ROADWAY / ALLEY / SIDEWALK"
"201500002108306",11/01/2015  21:30,11/02/2015  07:50,"MOTOR VEHICLE THEFT","9XX W HIGHLAND AVE","85013","APARTMENT"
"201510000015632",11/01/2015  21:58,11/02/2015  08:54,"BURGLARY","1XX W JONES AVE","85041","SINGLE FAMILY HOUSE"
"201600001183969",11/01/2015  22:30,12/01/2015  04:00,"LARCENY-THEFT","192XX N 20TH DR","85027","SINGLE FAMILY HOUSE"
"201500002108288",11/01/2015  22:45,11/02/2015  07:30,"LARCENY-THEFT","56XX E GELDING DR","85254","SINGLE FAMILY HOUSE"
"201500002113992",11/01/2015  23:00,11/02/2015  06:30,"RAPE","20XX W BETHANY HOME RD","85015","APARTMENT"
"201500002111976",11/01/2015  23:08,11/02/2015  06:10,"MOTOR VEHICLE THEFT","25XX W CACTUS RD","85029","PARKING LOT"
"201500002106595",11/01/2015  23:25,11/01/2015  23:29,"LARCENY-THEFT","18XX W GRANT ST","85007","GAS / SERVICE STATION"
"201500002107652",11/01/2015  23:59,11/02/2015  06:00,"BURGLARY","42XX E CEDARWOOD LN","85048","SINGLE FAMILY HOUSE"
"201500002116677",11/02/2015  00:00,11/02/2015  00:00,"LARCENY-THEFT","64XX W MITCHELL DR","85033","SINGLE FAMILY HOUSE"
"201500002268224",11/02/2015  00:00,11/25/2015  17:00,"LARCENY-THEFT","94XX N 9TH AVE","85021","OTHER"
"201500002240218",11/02/2015  00:00,11/22/2015  07:00,"LARCENY-THEFT","42XX W ENCANTO BLVD","85009","SINGLE FAMILY HOUSE"
"201500002112607",11/02/2015  00:00,,"AGGRAVATED ASSAULT","45XX N 15TH ST","85014","SINGLE FAMILY HOUSE"
"201500002232956",11/02/2015  00:01,11/21/2015  05:00,"BURGLARY","26XX N 31ST ST","85008","SINGLE FAMILY HOUSE"
"201500002115261",11/02/2015  00:01,11/03/2015  08:30,"BURGLARY","18XX E WIER AVE","85040","SINGLE FAMILY HOUSE"
"201500002155310",11/02/2015  00:01,11/04/2015  23:59,"LARCENY-THEFT","25XX W AVALON DR","85017","BANK / SAVINGS / CREDIT UNION"
"201500002248887",11/02/2015  00:01,11/16/2015  23:59,"LARCENY-THEFT","28XX S 51ST AVE","85043","VEHICLE"
"201510000015576",11/02/2015  00:23,,"MOTOR VEHICLE THEFT","21XX E MCKINLEY ST","85006","STREET / ROADWAY / ALLEY / SIDEWALK"
"201500002108965",11/02/2015  00:30,11/02/2015  08:00,"LARCENY-THEFT","3XX W TURNEY AVE","85013","APARTMENT"
"201500002137878",11/02/2015  01:00,,"LARCENY-THEFT","90XX S 50TH LN","85339","DRIVEWAY"
"201500002108474",11/02/2015  01:00,11/02/2015  08:00,"MOTOR VEHICLE THEFT","172XX N CAVE CREEK RD","85022","APARTMENT"
"201500002107709",11/02/2015  01:00,11/02/2015  06:32,"LARCENY-THEFT","36XX S 94TH LN","85353","SINGLE FAMILY HOUSE"
"201500002109234",11/02/2015  01:00,11/02/2015  11:24,"LARCENY-THEFT","2XX E ELWOOD ST","85040","SINGLE FAMILY HOUSE"
"201500002107271",11/02/2015  02:06,11/02/2015  02:06,"AGGRAVATED ASSAULT","28XX W CACTUS RD","85029","CONVENIENCE MARKET / STORE"
"201500002107295",11/02/2015  02:18,,"AGGRAVATED ASSAULT","42XX N 27TH AVE","85017","APARTMENT"
"201500002107343",11/02/2015  02:57,11/02/2015  02:57,"ROBBERY","67XX W MCDOWELL RD","85035","GAS / SERVICE STATION"
"201500002107355",11/02/2015  03:00,,"LARCENY-THEFT","40XX N 19TH AVE","85015","DEPARTMENT / DISCOUNT STORE"
"201500002111615",11/02/2015  03:00,11/02/2015  15:00,"LARCENY-THEFT","26XX N 32ND AVE","85009","STREET / ROADWAY / ALLEY / SIDEWALK"
"201500002120749",11/02/2015  03:00,11/02/2015  04:45,"RAPE","XX N 32ND ST","85034","PARKING LOT"
"201500002107357",11/02/2015  03:03,,"BURGLARY","63XX N 12TH ST","85014","GAS / SERVICE STATION"
"201500002108051",11/02/2015  03:33,11/02/2015  05:30,"BURGLARY","186XX N CAVE CREEK RD","85024","OTHER"
"201500002107482",11/02/2015  04:15,,"BURGLARY","23XX W GLENDALE AVE","85021","CONVENIENCE MARKET / STORE"
"201500002108060",11/02/2015  05:00,11/02/2015  07:00,"LARCENY-THEFT","53XX W ILLINI ST","85043","VEHICLE"
"201500002110260",11/02/2015  05:00,11/02/2015  14:00,"BURGLARY","81XX W MARIPOSA DR","85033","SINGLE FAMILY HOUSE"
"201500002107560",11/02/2015  05:15,,"LARCENY-THEFT","26XX W PERSHING AVE","85029","SINGLE FAMILY HOUSE"
"201500002107665",11/02/2015  05:45,11/02/2015  06:00,"BURGLARY","7XX E HATCHER RD","85020","07A STOREROOM/SHED (COMMERCIAL)"
"201500002107625",11/02/2015  05:55,11/02/2015  05:55,"AGGRAVATED ASSAULT","E DUNLAP AVE & N 12TH ST","85020","STREET / ROADWAY / ALLEY / SIDEWALK"
"201500002210071",11/02/2015  06:00,11/15/2015  21:00,"BURGLARY","30XX N 67TH AVE","85033","APARTMENT"
"201500002111106",11/02/2015  06:00,11/02/2015  15:30,"LARCENY-THEFT","2XX E BELL RD","85022","PARKING LOT"
"201500002109221",11/02/2015  06:00,11/02/2015  11:00,"MOTOR VEHICLE THEFT","56XX N 17TH AVE","85015","PARKING LOT"
"201500002109761",11/02/2015  06:00,11/02/2015  12:47,"BURGLARY","80XX W GLENROSA AVE","85033","SINGLE FAMILY HOUSE"
"201500002111590",11/02/2015  06:00,11/02/2015  16:05,"BURGLARY","20XX W EARLL DR","85015","SINGLE FAMILY HOUSE"
"201500002113357",11/02/2015  06:30,11/02/2015  20:30,"LARCENY-THEFT","9XX E MCDOWELL RD","85006","HOSPITAL"
"201500002110595",11/02/2015  06:35,11/02/2015  14:20,"BURGLARY","102XX W FLORENCE AVE","85353","SINGLE FAMILY HOUSE"
"201500002108309",11/02/2015  06:50,,"LARCENY-THEFT","102XX W INDIAN SCHOOL RD","85037","OFFICE / COMMERCIAL BUILDING"
"201500002107784",11/02/2015  06:55,11/02/2015  06:55,"ROBBERY","21XX W HAZELWOOD ST","85015","STREET / ROADWAY / ALLEY / SIDEWALK"
